"","gene_id","control1","control2","treat1","treat2"
"418","NM_000436",304,267,259,279
"419","NM_000437",97,100,195,149
"420","NM_000438",3,0,1,2
"421","NM_000439",0,0,1,1
"422","NM_000440",0,0,3,1
"423","NM_000441",3,4,5,2
"424","NM_000442",2,2,7,8
"425","NM_000443",0,0,0,0
"426","NM_000444",1,1,0,0
"427","NM_000445",15,11,10,20
"428","NM_000446",1,0,1,2
"429","NM_000447",0,0,0,0
"430","NM_000448",27,30,16,15
"431","NM_000449",0,0,0,0
"432","NM_000450",0,0,1,0
"433","NM_000451",0,0,0,0
"434","NM_000452",0,0,1,0
"435","NM_000453",0,0,1,1
"436","NM_000454",1784,1755,2014,1554
"437","NM_000455",632,561,661,566
"438","NM_000456",1,0,1,2
"439","NM_000457",0,0,0,0
"440","NM_000458",0,0,0,0
"441","NM_000459",1,3,3,0
"442","NM_000460",0,0,0,0
"443","NM_000461",0,0,0,0
"444","NM_000462",4,12,9,3
"445","NM_000463",0,0,0,0
"446","NM_000465",0,0,0,0
"447","NM_000466",0,0,0,0
"448","NM_000474",585,516,472,306
"449","NM_000475",6,7,2,1
"450","NM_000476",275,258,537,411
"451","NM_000477",0,0,1,1
"452","NM_000478",0,1,2,2
"453","NM_000479",6,4,1,2
"454","NM_000480",0,1,1,1
"455","NM_000481",0,0,0,0
"456","NM_000482",0,0,0,0
"457","NM_000483",0,0,0,0
"458","NM_000484",0,0,0,0
"459","NM_000485",23,32,46,54
"460","NM_000486",0,0,1,2
"461","NM_000487",2,3,6,3
"462","NM_000488",1,0,4,1
"463","NM_000489",8,10,10,14
"464","NM_000490",0,0,1,0
"465","NM_000491",0,0,0,0
"466","NM_000492",0,2,4,2
"467","NM_000493",14,15,20,27
"468","NM_000494",7,3,14,14
"469","NM_000495",0,0,0,0
"470","NM_000496",0,0,0,0
"471","NM_000497",0,0,0,1
"472","NM_000498",0,0,0,0
"473","NM_000499",0,0,6,6
"474","NM_000500",0,0,0,0
"475","NM_000501",0,0,0,0
