"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001300754",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001499",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_002311",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_002904",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_003650",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_003830",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_004827",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_006280",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_016327",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_024844",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_032812",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_152635",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_152654",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_178493",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_199418",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_206832",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_002917",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_003361",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_004388",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_026795",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_027112",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_027266",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_029690",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
